Text	Category
BIO HALITZ6 MLVlr.Aprox.Tributos: 1.73	cosmeticos
DOVE MEN R ON SILVER50	cosmeticos
ISA EDP VAP 100ML 3972667	cosmeticos
0462292 ST PROTETOR DE PESCOCO	cosmeticos
TINT NUTRISSE MINI KIT 4.30 CAST MEDIO DOURADO	cosmeticos
4530438 ST LAPIS SOMBRA AZUL CL	cosmeticos
LOC HID GIBY ROSA 200ML	cosmeticos
Tinta Evolution 58,2 g 9 Louro Clarissimo Alfa Parf UN	cosmeticos
- REF.: (82440176) - BRINDE GEL PARA BANHO 50ML - BOND 007 QUANTUM - JAMES BOND 007 QUANTUM REFRESHING SHOWER GE	cosmeticos
ACESSORIO P/ CABELO TIARA-04730-UNI	cosmeticos
BLOQ SOL C BRONZEFPS30SPORTSPR110ML	cosmeticos
ESM TRANSP BETERRABA 108 7,5 ML/CR/	cosmeticos
Oleo Fortalecedor De Unha 30 Ml Cravo Da India Agima UN	cosmeticos
DES GILLETTE AERO MEN SPORT TRIUMPH 150ML	cosmeticos
GEL COLA SILVER LINE LAZUN 1X1000 GR LAZUN 1X1000 GR	cosmeticos
FR SHAMPOO NEUTRALIZANTE 1,5L NEW FLA	cosmeticos
TINTURA WELLA SOFT COLOR N 70	cosmeticos
PINCA DEPILATORIA 12X1 KM-287 KMACH	cosmeticos
GEL FIX BOZZANO L300P230GR MIC ESF LAR	cosmeticos
AMPOLA PANTENE TRAT 3 MIN C/3	cosmeticos
SAB.JOHNSON SUAVIZE O.AMENDOAS L6P5 UND 1 X 1 5X90G	cosmeticos
Kit Pulseira e Anel P3101 Biju Disney UN	cosmeticos
GUARDANAPO DE PAPEL 20X23CM VERMELHO C/ 50 UND	cosmeticos
MAMADEIRA DIVERTIDA ORTO SIL 120ML TAM1 ROSA | Lotes: 15085| GTIN: 7896033211307	cosmeticos
SHAMPOO BLINDAGEM 3D 1L - PASSO 1 LOTE E001/16	cosmeticos
SABONETE FRANCIS IRIS ORLEANS CX 90G	cosmeticos
210-CREME HID. P. M. SEBOCARN.240G LW	cosmeticos
BOM MEDICO - MASSAGEADOR CORPO	cosmeticos
TINT COR TON 125GR 9.01LOU CZ EXT CL+OX(E)	cosmeticos
SABONETE PROTEX ALOE VERA 12X90G RFBR11414	cosmeticos
TINT FLUIDGEL 040ML 5.0 CAST CLA	cosmeticos
SHAMPOO ALOE FRUTAS LOTE 15	cosmeticos
DERMODEX PREVENT CR 45G	cosmeticos
BOZZANO DES AERO ANTI DRACO 12X90G	cosmeticos
DEO COLONIA COTY PATCHOULI 500 500 ML	cosmeticos
PHOTOAGE MAX FPS 99 - 50G -L.201510039	cosmeticos
2.0 INOA 7,1	cosmeticos
PENTE FINO	cosmeticos
POUR ELLE CHIC-ISSIME EDP VAP 75ML3905017	cosmeticos
TINT MAXTON CR 1.0 PRETO	cosmeticos
LOCAO HIDRAT NIVEA BODY LOTION 1X200ML R 80313	cosmeticos
GLOSS LAB VULT COR 08 4,5G	cosmeticos
Reparador De Pontas 35 Ml TingidosColor Tricofacil UN	cosmeticos
- REF.: (82438821) - TESTER AGUA PERFUMADA 100ML - DG INTENSE FEMME - DOLCE & GABBANA POUR FEMME INTENSE EAU D	cosmeticos
SAB DETTOL NOTOUCHLIQ GPEE REF250ML	cosmeticos
- REF.: (902074) - SHAMPOO 1LITRO - SENS ENERGY - SENSCIENCE PROFORMANCE ENERGY REVITALIZING SHAMPOO	cosmeticos
ESM HIPOAL. BONECA DE LUXO 1X6	cosmeticos
ESM.BEAUTY BASE SETIM 6X1 CX0006UN	cosmeticos
Shampoo Profissional Sfera 1 Lt Anti Residuos Nazca CX	cosmeticos
N/SPA TRIO SAB MIX ACAI/JAB/VI	cosmeticos
Tinta Majirel 50 g 4,0 Castanho Nat.Pr. Loreal Profissional UN	cosmeticos
SEB COL IGNITE MON SHP 50ML	cosmeticos
MAXILLURING PO DES REFIL PRETO 300G QUER E GERM DE TRIGO	cosmeticos
ESCOVA DENTAL TORCEDOR KIDS FLUMINENSE C/ PROTETOR DE CERDAS	cosmeticos
SHAMPOO PAYOT SEM SAL LEVEDO VITAMINA E 300ML	cosmeticos
CT DOVE REC PONTAS DUPLAS 350G	cosmeticos
LOCAO HIDRATANTE SEXY GLAM, 050914	cosmeticos
0383929 ST LENCO REMOVEDOR ESMAL	cosmeticos
COND CACHOS DEF 300 ML	cosmeticos
CR DENTAL SORRISO SUPER REFRES AMARELO 12X50G RFBR03220	cosmeticos
SABONETE LIQUIDO GLICERINA BEBE 250 ML . .	cosmeticos
DESODORANTE M.,ALECRIM E SALVIA 70ML CATIVA NATUREZA	cosmeticos
ESP BARBA PRESTOBARB P-NORM 150GR	cosmeticos
Tinta 60 Ml 689 Lou.Esc.Ver.Vio Igora Royal UN	cosmeticos
CONDICIONADOR SEDA CERAMIDAS 350ML	cosmeticos
ENXAGUANTE BUCAL - COLGATE PLAX 60ML	cosmeticos
GUARDANAPO 14X14 FLORAX FD 4X300 - 46	cosmeticos
AZZARO POUR HOMME EDT 30ML	cosmeticos
DES.NIVEA ROLL.SILVER PROCT MASC.83778 UN0001UN	cosmeticos
PROT SEIO AMORAVEL C30	cosmeticos
0263125 ST BOLSA TERMICA 1L	cosmeticos
BRILHO LAB ULTRA INT ROSE BRILLANT 7,5G	cosmeticos
LOCAO H JOHNSONS LV400P320ML MAC PROLOG(E)	cosmeticos
4226445 ST CREME ALISANTE NIELY	cosmeticos
MAMADEIRA OCEANO 250 ML SIL ORTO (2062)	cosmeticos
Mascara Tratamento Intensivo 1000 g Broto De Bambu Skafe UN	cosmeticos
PHIL SMITH CURLY LOCKS CONDITIONER 250ML	cosmeticos
SH. ARGAM 500ML GRIFFIN COSMETICOS Tot. Tributos R$ 3,22 Federal R$ 3,32 Estadual	cosmeticos
TEST TERRA 13 JAMBES GAZELLE	cosmeticos
CONDICONADOR LAVANDA BB 8 ML CX100 . .	cosmeticos
NUTRI KIDS-50 ML	cosmeticos
KIT TAKE TEN C/10 MINI 10 X 3,75 ML	cosmeticos
ESM COLO ARTIS GLI.PRAT	cosmeticos
SHAMPOO PURE RESOURCE 1500 ML	cosmeticos
SAB GRANA GLICE YLANG 300M LQ	cosmeticos
ESMALTE 7,5ML GLITTER - 605 AZUL	cosmeticos
4413474 ST ESCOVA CABO MADEIRA	cosmeticos
BLUSH PO ACUCENA 4,5G	cosmeticos
Defrizante Crystal Ravor 240 g Turquesa Nazca UN	cosmeticos
LOCAO HID PEACH	cosmeticos
LOCC SAB LIQ KARIT	cosmeticos
HYDRANCE OPTIMALE L AVENE FPS2040ML	cosmeticos
FFLH SPIRIT EDT VAPO 75ML TEST	cosmeticos
KER STYL SPRAY A PORTER 150ML.	cosmeticos
NUXEBODY SERUM CONTORNO CELULITE	cosmeticos
COVER BLOCK FPS50 - COR C ** 8G -L.201606012	cosmeticos
LC GIOV.BABY 200M PEACH	cosmeticos
ELUAGE AVENE CONTORNO OLHO 15ML	cosmeticos
Esmalte Ludurana Aurora Boreal Reluz Solto 8ml	cosmeticos
AR MAQUIAGEM - BATOM TINTA - L	cosmeticos
DESCOLOR LIGHTNEKT B.LUA	cosmeticos
ESC CONDOR R7013	cosmeticos
CELL RESURFACING CREAN 1H09 40 ML	cosmeticos
ESMALTE IMPALA CREMOSO CROCHE BLISTER 6X1 R1012703	cosmeticos
SAB PALM 090GR SVE LEIT PETALA ROSAS	cosmeticos
DEO COLONIA PH PROVENAL. .	cosmeticos
SHAMPOO 300ML NG CONTROLE DE QUEDA	cosmeticos
COL PHYTODERM SPRAY DOMINI 100 ML	cosmeticos
TALCO TENYS PE B.AER CAN.110G	cosmeticos
GEL BETULLA GLITTER H KITTY 180 ML	cosmeticos
HITS 327 CREMOSO SAFIRA	cosmeticos
PROV PERFECT SUN AGUA REFRESCANTE ENERGIZANTE C/ AGUA DE MACA 30ML	cosmeticos
PERFUME HUGO XY EDT 100ML	cosmeticos
BATOM MATTE FOSCO N. 190	cosmeticos
ASEPXIA SAB ESFOLIANTE 90G LP:N	cosmeticos
TONICO CAPILAR MARIA DA SELVA 120ML	cosmeticos
HITS MARI MOON CHAMELEON PEROLADO	cosmeticos
LC HID DES CORP BPLEASURE GRAPE WISH 60ml	cosmeticos
Refil Sabonete Liquido Borboleta Flor 380 ml	cosmeticos
SHAM MURIEL UMIDILIZ TEEN 250 ML	cosmeticos
- REF.: (75001286000) - MINIATURA AGUA PERFUMADA 5ML - RC NERO - ROBERTO CAVALLI NERO ABSOLUTO EAU DE PARFUM NATURA	cosmeticos
SMOOTH SHAVE FOAMING GEL 150ML	cosmeticos
BATOM LONG LAST -PINK PEACH SO	cosmeticos
ESM. REVLON CREME 220 ENCHANTING 14,7ML	cosmeticos
AZZARO WANTED EDT 100ML	cosmeticos
ESM. BLANT PER. OPERA 9,5 ML	cosmeticos
DS REXONA 175ML AERO FEM BAMBOO	cosmeticos
KIT GUANXUMA COMPLETO 4 PRODUTOS	cosmeticos
POUDRE COMPACTE BEIGE CLAIR	cosmeticos
BATOM ARCHY 311 UN-0001-UN	cosmeticos
SHAMPOO FLORA NENEN CABELOS NORMAIS - 100 ML	cosmeticos
CR PENT ELSEVE QUERALISLEVSED250ML	cosmeticos
PERFUME ANIMALE FOR MEN 100ML	cosmeticos
COADOR EXTRA GRANDE	cosmeticos
VIZCAYA SH BR MAC 2CD	cosmeticos
BIG SEXY SPRAY & PLAY HARDER HAIRSPRAY 300 GR	cosmeticos
SH TURMA DA MONICA 2X1 200ML	cosmeticos
TINT BIOCOLOR FLUID 7.44 LOURO NAT COB	cosmeticos
043.018 DEVA - NO POOL 120ML	cosmeticos
CASTANHO CLARO MINI-KIT CT 5.0	cosmeticos
BT SEDUCION SAB INT MORANGO 120ML	cosmeticos
ESC CAB RICCA 388	cosmeticos
60 CARTAZES DE PRODUTOS PLUS ERVAS	cosmeticos
KIT 2 LAPIS NOIR + LAPIS LAB VINHO	cosmeticos
BATOM CREMESHEEN CREME CUP	cosmeticos
C&B PROT SOL FPS50 12X200ML 2013 ALARME	cosmeticos
LAV AMORAVEL BABY 230ML	cosmeticos
Select 20x200 6 Rls. Branco	cosmeticos
GD CLOSEUP LIQUI RE	cosmeticos
ACTIVE DERMATO CLAREADOR FACIAL 60g	cosmeticos
ESMALTE ALTA MODA:10ml:Vinho Viola	cosmeticos
PEDRA POMES MARCOBONI 6019	cosmeticos
POUR HOMME SOIR PROVADOR 100ML	cosmeticos
LOR LRP BIOMEDIC PIGMENT CONTROL 30ML	cosmeticos
Esmalte Full Color Glitter 9 Ml Luzes Ludurana UN	cosmeticos
ESMALTE PINK ANITA 10ML	cosmeticos
GEL MURIEL V NIGHT DANCING (DOUR) 180 GR	cosmeticos
LC NIVEA REP.INTENS 48 HORAS	cosmeticos
DEO COLONIA LOVE BUTTERFLY 120 ML	cosmeticos
1070010 ST LENCOS PARA DEPILACAO	cosmeticos
ARGAN OIL 60ML Tot. Tributos R$ 18,65 Federal R$ 14,25 Estadual	cosmeticos
CLEAR MOISTURE WATER RUSH 250ML RENO	cosmeticos
DS DOVE 150ML AERO MEN+CARE SILVER CONT(E)	cosmeticos
NUTRI CACHOS COND 250 ML	cosmeticos
5076463 ST ESMALTE FLOR DE ZAS	cosmeticos
GARNIER OLIA 71 LCN	cosmeticos
PH ROLAO 8X300 HIGIE SOFT BRANCO 350	cosmeticos
CR. P/PERN GOICOECH NOR 400M	cosmeticos
RICHESSE 5.56 ACAJU ARDENTE 80G	cosmeticos
COL BEAUTYCOLO 5.0	cosmeticos
AM VERMELHO INT.-021 10ML CART C/6 BLIS.	cosmeticos
KIT MAMONA S/ CORANTE (SH/COND	cosmeticos
DES REXONA AEROSOL MASC ACTIVE 175ML C2	cosmeticos
Fleury CastCla 5.0 Col Especial	cosmeticos
Shampoo Elseve 200 Ml Citrus Loreal UN	cosmeticos
AUSSIE CR 3 MIN 236ML	cosmeticos
Manteigas Florestais Amazônicas Bastão Labial 4,5 gr - LOTE: 03213	cosmeticos
SACHE CAUTERY BLIND.QUERATINA 50 G 12 UN/CR/	cosmeticos
TINT NUTRISSE 366 ACAJU PURPURA	cosmeticos
BATOM QUADRADO MIA MAKE MATTE COR 7Lote: 1	cosmeticos
CR PENT JOHNSONS BABY HIDRATACAO INTENSA 150ML	cosmeticos
SHAMPOO HAMAMELIS OLEOSOS E MISTOS - Lote: 337123/521	cosmeticos
LAPIS BATOM AMARANTHUS 2,8G	cosmeticos
DEO-COL. FEMININA GLAM 95 ML Tot. Tributos R$ 8,16 Federal R$ 7,18 Estadual	cosmeticos
PINCEL HENNA SUPER BELLA P	cosmeticos
NECESSERE PT	cosmeticos
ESCOVA DENTAL ADT OBA OBA OB-052	cosmeticos
CREME HIDR. SEBO DE CARNEIRO 240G	cosmeticos
SH BIO EXTRATUS NEUTRO 250ML	cosmeticos
LOCAO HID NIVEA FREE TIME 200ML UN/0001	cosmeticos
ELS HYDRA DETOX ZERO CASPA CD 400ML	cosmeticos
Esmalte Ludurana Cremoso CR-205 Solto 8ml	cosmeticos
COND DOVE 200ML HIDRAT INTENSA	cosmeticos
TOP BATOM LIQ ALTA DEF. BORDO	cosmeticos
SHAMPOO SEDA CLIMA RESIST 350ML	cosmeticos
PENTE ESPADA CLARA BEAUTY	cosmeticos
KIT ORTHO BITUFO BEN 10	cosmeticos
BIGFRAL BANHO LEITO C8	cosmeticos
CREME C/ OLEO DE COCO 250G Tot. Tributos R$ 2,98 Federal R$ 2,28 Estadual	cosmeticos
BATOM MINERALIZE - POSH TONE	cosmeticos
OLEO PAIXAO AMEND.MISTERIOSA 200ML UN0001UN	cosmeticos
TEINT COMPACT EXPRESS PUR 04 TEST	cosmeticos
KIDS COND CACHEADOS 250 ML	cosmeticos
ESMALTE AMARENA	cosmeticos
6016510 ST KIT MAQ SOM BLUS PO	cosmeticos
BATOM (CAMILA)	cosmeticos
ESC DEN ORAL-BKID MICKEY MOUSE	cosmeticos
Escova e Pente de Cabelos Coloridos NUK | Lotes: 413689| GTIN: 34008600090206 | FCI: 968D8784-A16B-40AB-8581-B4D13EE0F	cosmeticos
ROC PROCORR CR 40ML	cosmeticos
Esmalte Ludurana Cremoso Aye solto 8ml	cosmeticos
PAPEL HIGIENICO BCO II 8X300 MT	cosmeticos
BASE DM MOUSSE NU SANDY BEIGE	cosmeticos
TST EDT PUMA SYNC MAN 1H13 60ML	cosmeticos
SINTA-SE BEM CHARMOSA - DESODO	cosmeticos
H2OSUN LOC CR DES CORP HID250G	cosmeticos
locao oxidante 30vol. 1000ml	cosmeticos
PH PERSONAL VIP NEUT L24P23 2X1 30MT	cosmeticos
SPRAY DE HIDRATAÇAO INTENSIVA PARA OS PES PRINCIPLES- 50ML	cosmeticos
641 LOURO ESCURO ACOBREADO ACINZENTADO DICOLORE	cosmeticos
SKC LHA CLEASING GEL 75ML	cosmeticos
Ref1: 75018 - DAVINES - MOMO HAIR POTION 150 ML	cosmeticos
Esmalte Tratamento 7,5 ml 046 Oleo Secante Impala UN	cosmeticos
ANSOLAR FPS60 LOCAO 60G	cosmeticos
CLINDO PELE ACNEICA MOUSSE CLEANSER 60G	cosmeticos
ARTIST GLOSS 7ML TESTER 300P	cosmeticos
SENSODYNE MW EXT FRESH 500mL	cosmeticos
BRILHANCY A CAMPO SH DESAMARELAD 100 ML	cosmeticos
GIORGIO BEVERLY HILLS FEM 30ML	cosmeticos
CR PENT ELSEVE 250ML QUERA LISO 230 C	cosmeticos
SAB PROTEX ERVA DOCE MAOS 250ML	cosmeticos
BLANCY MANT NT 20G LC CLAR	cosmeticos
AROMATIZANTE BUCAL DE MENTA 15	cosmeticos
ESM PRETA GIL TRANSPARENTE VRAA 9ML LT: PG 869	cosmeticos
TESTER 4 OMB.TISSE CAMBON 228 /2G - 64228	cosmeticos
Creme Hidratante Clinihair 430 g Nutricao Intensiva Niely UN	cosmeticos
BED HEAD CO DUMB BLON CHEM HAI 200ML	cosmeticos
EA - GEL TERMOREDUTOR LIPOLESS - 500g	cosmeticos
EST.ETERNITY MEN (EDT/A.SHAVE) 100 ML / 100 ML	cosmeticos
SNC BALANCE CONDITIONER 3,7 L	cosmeticos
BEEPS SHAMPOO FILHOTES 500ML	cosmeticos
100862 - TRAVELLER 100ML - EDT	cosmeticos
0159042 ST C DEPIL CORP SUPREME	cosmeticos
MAGENTA FLUOR ESM 9ML	cosmeticos
PLAYBOY FEMALE EDT - PLAY IT SPICY- 30ML	cosmeticos
NEUTROG.UL.LIGHT P.NORM-SEC 55	cosmeticos
COL MINI COR TON 9	cosmeticos
0713759 ST CORRETIVO AMARELO	cosmeticos
SHAM BETULLA H KITTY DELICADOS 260 ML	cosmeticos
MMD DESIGN FASHION ORTO SIL TAM2 300ML C/ ALCA AZUL | Lotes: 16247| GTIN: 7896033212144	cosmeticos
SHAMPOO PARA BARBA E FACE 120ML LA VERTUAN	cosmeticos
ACQUA KIDS KIT CART SH E COND LI E FINOS 250ML	cosmeticos
Tinta Imedia Excellence Vermelhos 7764 Verm.Ex.Intenso Loreal UN	cosmeticos
YE BLOOM ARGAN OIL SHAMPOO 500ml	cosmeticos
ESMALTE DESERT GLOW TEEEZ:8,5ML:MELTED COOPER	cosmeticos
111972 - TESTER - CORSAGE - EDP - 100 ML	cosmeticos
- REF.: (82441429) - AGUA DE COLONIA 30ML - BB SIGNATURE MAN	cosmeticos
ESCOVA DENTAL INFANTIL DOLPHIN KIDS -POWERDENT	cosmeticos
FIO DENTAL ORAL B MENTA 6X50 MT (8) PT0006UN	cosmeticos
ESCOVA MARCOBONI OVAL USO DIARIO SOFT VIBE 8037	cosmeticos
PROVADOR DES AGUA PER LAV ING 215ML	cosmeticos
ESMALTE RISQUE EXPERIENCIA CARIBENHA BL 8ML	cosmeticos
MMD PRIMEIROS PASSOS ORTO SIL 240ML TAM2 AZUL | Lotes: 16319| GTIN: 7896033211734	cosmeticos
PROTETOR LABIAL MANGA BURTS BEES:8,5g	cosmeticos
