text	cosmetics	cleaning	food
RED APPLE BRONZ. CANELA 125 ML	1	0	0
Condicionador Liso Expresso 250 Ml Protecao Termica Capicilin UN	1	0	0
DESODORANTE INTIMO LICHIA 35ML	1	0	0
BATOM COR 02PINK	1	0	0
SAB. 290 ML INTIMO LV 290 PG 200	1	0	0
CR. DE HIDRATACAO MAXIMA QUERATINA 300G	1	0	0
DERMOPES - TALCO ANTI-SEPTICO	1	0	0
GUARDANAP SPOL 33X33CM CX 3000	1	0	0
GEL RED B.BYE C/2 DE.50 2	1	0	0
PALM MILK SAB LIQ 250	1	0	0
DEFRIZANTE CUPUACU HMB 300ML	1	0	0
RV PHOTO MOUSSE MAKE UP NAT BEIGE TEST	1	0	0
TIOGLIC STICK 4G	1	0	0
ES COLOR 127 WATERMELON	1	0	0
HEALTHY MIX FDT -VANILLE TESTER NEW	1	0	0
ESMALTE DANKE SHINY RED 15 ML	1	0	0
PO SOLTO SELECT SHEER NC 15	1	0	0
YE COLOR HAIR 3.31 60ML	1	0	0
TINT KOLESTON KIT 72 LOURO MATE MEDIO	1	0	0
VAGIDRAT HIDRAT INTRAVAGINAL 30G	1	0	0
BASTAO STICK SICCATIF 4GR	1	0	0
CR.MAOS LOCCIT PVOIN FLORA 30M	1	0	0
ELASTICO PCABELO PAR	1	0	0
POLO BLACK EDT 40ML	1	0	0
DUE FACCETTA MASSIMO 300ML	1	0	0
Deo Colonia Desodorante 1/2 L R30370 no. 65	1	0	0
SH LISS CABELOS LISOS KN 400ML	1	0	0
HIDRACARE PELE OLEOSA FPS 35 - 45G -L.201611055A	1	0	0
Tinta Olia 6.43 Mel Acobreado Loreal UN	1	0	0
BATOM FROST CB-96	1	0	0
ESC. RICCA CLASSIC REDONDA	1	0	0
NIVEA CELL OLHOS 15G	1	0	0
PROT SOLAR SUNDOWN FPS 50	1	0	0
SHAMPOO TRESEMME SELAGEM ORIGINAL 400ML	1	0	0
DS RED APPLE 055GR CR ACTIVE	1	0	0
1816330 ST MASCARA VERMELHO CAL	1	0	0
ED.ORAL B 7 BENEF.PS.40 L2P1	1	0	0
EDEFATIGANT ECLAIR YEUX CLARINS 20ML	1	0	0
Sprayset Mousse 180 Ml Mega Forte Aerojet UN	1	0	0
HIDRASHOWER HIDRATANTE CORPO FPS17 DERMAGE 200G -L.201402010	1	0	0
Manteiga Corporal 110 g Amendoas CBaunilha Muriel CX	1	0	0
Maxpaper Classic (HRC) 10X300 8 Rls Extra Luxo	1	0	0
DES.BIO ROL.F.INV.BW.50ML	1	0	0
MET 15 BABY GLOW 4 DORE TEST	1	0	0
COND LORYS BABY MELISSA 500 ML	1	0	0
CETAPHIL SAB.P.SECA 80G	1	0	0
ESMALTE BEAUTY COLOR CRE.081 PINK TULIP*	1	0	0
KIT PROGRESSIVA LIZZE STEP1 E STEP2 DE 500ML	1	0	0
ESTOJO WOLF 2014-AFTHER/COL/DESODORANTE	1	0	0
ESC.D.TEK MEDIA 12UN	1	0	0
RECONS CAP WELLA COLOR PERM PRE TRE 18M	1	0	0
PATE PLATINIUM PLUS 500G V2	1	0	0
BIOLAGE REPAIR CPP 200ML	1	0	0
GEL COMBATE ARN C/ SEBO DE CARNEIRO 200 Tot. Tributos R$ 40,73 Federal R$ 28,50 Estadual	1	0	0
SHAM G DOURADA GOTA JABERVAS 340 ML	1	0	0
PAPEL TOALHA C/1000 FLS 20X21	1	0	0
CR.FAC NIVEA VISEX.LIF A-IDNOT	1	0	0
ESCOVA DENTAL INF OBA OBA OB-008 CX C/60 DZ	1	0	0
ESM A H SB MET MUSA DE LIMAO 6X1 09 ML	1	0	0
Gel Silicone 15 g Ref. 0040 Fingrs UN	1	0	0
SAB PHEBO RAIZ ORIENTE 250ML	1	0	0
DES GILLETTE CLEAR GEL MEN ARCTIC ICE 82G	1	0	0
BLUSH 15 03 PEACH PARTY TESTER	1	0	0
DS REXONA 030ML ROL COMPACT POWDER	1	0	0
CREME TRATAMENTO INTENSIVO TUTANO 1KG	1	0	0
FIORUCCI SAB PERF C3	1	0	0
COPP UG FPS 30 125ML	1	0	0
FIO DENTAL HILLO 100 MT WOMAN NORM 12X1	1	0	0
PINCA ENOX PT.OBL 673	1	0	0
DREAM BLUSH TOUC C/3	1	0	0
BAT HYDRAEXT NU 520 CORAL CHIC	1	0	0
DESOD REXONA ROLL-ON MEN ANTIBACT 50ML UN/0001	1	0	0
Unhas Color Ref. 2238 Rubi Fingrs UN	1	0	0
COND NEUTROX CLAS 350M	1	0	0
CR CAB PENT KOLENE GELEIA REAL 300 ML UN/0001	1	0	0
POWER BLEACHING PC 37% KIT/3 Ser.: Lote: 0122/0916 x6	1	0	0
ROC PRODEFINE CONC 50	1	0	0
SAB.LIQ.T.MONICA SUAVE 200ML	1	0	0
ESC CAB CONDOR SHANA MADEIRA 6821	1	0	0
ANGEL EDT 40ML	1	0	0
LOC DES CORP HIDRA PELE PROTEINA DO LEITE 300ML GS	1	0	0
Papel toalha bobina NOBRE Confort caixa c/6x0,20x200m (celulose virgem)	1	0	0
CREME NEUTROX PENTEAR CLASSICO 300ML	1	0	0
REF.:(985722) COLORACAO CONDICIONADORA EM CREME PARA CABELOS - LOURO MEDIO (7N MEDIUM BLONDE) 60ml-IS	1	0	0
DESOD REXONA AERO WOMEN BAMBOO 105 GR UN/0001	1	0	0
SH PANTENE CUIDADO CLASSICO 400ML UN/0001	1	0	0
AR TRAT. BASE PARA UNHAS ROIDA	1	0	0
COND OL ARGAN MAXI POPDRAT 500ML	1	0	0
BATOM PRETA GIL NA PISTA 3.5G LT22992 A V09/18	1	0	0
SABONETE GINGER TRAVEL BOX 100G	1	0	0
AROMA ABACAXI PO	1	0	0
LENCOS UMED PIQUITUCHO POTE 70 ROSA (COM 12 PCS) - Lote: 010594	1	0	0
- REF.: (65792184000) - TESTER AGUA DE COLONIA 100ML - CK RED HER - CALVIN KLEIN CK ONE RED FOR HER EAU D	1	0	0
BATOM MAYBELLINE COLOR SENSATIONAL CREM NR 107 ROSA CAUSAR	1	0	0
DESOD RED APPLE ROLL-ON FEMIN. NAT.50 ML UN/0001	1	0	0
PO DAILUS N. 18 CREME	1	0	0
Esmalte Full Color Cremoso Alianca Solto 9ml	1	0	0
G3 CONC IONIZAVEL DENSE LIFT+CALCIO	1	0	0
SABONETE ASEPXIA NEUTRO 90G	1	0	0
ANTHELIOS XL FLUIDE FPS 50 125ML	1	0	0
"KIT FOFURA (1- Shampoo; 1- Condicionador;1- Cr. p/ desembaracar; 1- Colonia; 1- hi dratante; 1-Sacola plastica)"	1	0	0
RENO EXC CR 6.41 MARROM	1	0	0
COND LORYS BABY CALENDULA 500 ML	1	0	0
1605828 ST ESCOVA THERMAL CERAMI	1	0	0
ORIGEM CREME PENTEAR CACHOS CONT 300ML	1	0	0
DES NIVEA ROLL FEM INV BEW 3X50ML 15% DES	1	0	0
MKU 16 FALL E/SHADX5 01 TEST	1	0	0
BIO HALITZ6 MLVlr.Aprox.Tributos: 1.73	1	0	0
DOVE MEN R ON SILVER50	1	0	0
ISA EDP VAP 100ML 3972667	1	0	0
0462292 ST PROTETOR DE PESCOCO	1	0	0
TINT NUTRISSE MINI KIT 4.30 CAST MEDIO DOURADO	1	0	0
4530438 ST LAPIS SOMBRA AZUL CL	1	0	0
LOC HID GIBY ROSA 200ML	1	0	0
Tinta Evolution 58,2 g 9 Louro Clarissimo Alfa Parf UN	1	0	0
- REF.: (82440176) - BRINDE GEL PARA BANHO 50ML - BOND 007 QUANTUM - JAMES BOND 007 QUANTUM REFRESHING SHOWER GE	1	0	0
ACESSORIO P/ CABELO TIARA-04730-UNI	1	0	0
BLOQ SOL C BRONZEFPS30SPORTSPR110ML	1	0	0
ESM TRANSP BETERRABA 108 7,5 ML/CR/	1	0	0
Oleo Fortalecedor De Unha 30 Ml Cravo Da India Agima UN	1	0	0
DES GILLETTE AERO MEN SPORT TRIUMPH 150ML	1	0	0
GEL COLA SILVER LINE LAZUN 1X1000 GR LAZUN 1X1000 GR	1	0	0
FR SHAMPOO NEUTRALIZANTE 1,5L NEW FLA	1	0	0
TINTURA WELLA SOFT COLOR N 70	1	0	0
PINCA DEPILATORIA 12X1 KM-287 KMACH	1	0	0
GEL FIX BOZZANO L300P230GR MIC ESF LAR	1	0	0
AMPOLA PANTENE TRAT 3 MIN C/3	1	0	0
SAB.JOHNSON SUAVIZE O.AMENDOAS L6P5 UND 1 X 1 5X90G	1	0	0
Kit Pulseira e Anel P3101 Biju Disney UN	1	0	0
GUARDANAPO DE PAPEL 20X23CM VERMELHO C/ 50 UND	1	0	0
MAMADEIRA DIVERTIDA ORTO SIL 120ML TAM1 ROSA | Lotes: 15085| GTIN: 7896033211307	1	0	0
SHAMPOO BLINDAGEM 3D 1L - PASSO 1 LOTE E001/16	1	0	0
SABONETE FRANCIS IRIS ORLEANS CX 90G	1	0	0
210-CREME HID. P. M. SEBOCARN.240G LW	1	0	0
BOM MEDICO - MASSAGEADOR CORPO	1	0	0
TINT COR TON 125GR 9.01LOU CZ EXT CL+OX(E)	1	0	0
SABONETE PROTEX ALOE VERA 12X90G RFBR11414	1	0	0
TINT FLUIDGEL 040ML 5.0 CAST CLA	1	0	0
SHAMPOO ALOE FRUTAS LOTE 15	1	0	0
DERMODEX PREVENT CR 45G	1	0	0
BOZZANO DES AERO ANTI DRACO 12X90G	1	0	0
DEO COLONIA COTY PATCHOULI 500 500 ML	1	0	0
PHOTOAGE MAX FPS 99 - 50G -L.201510039	1	0	0
2.0 INOA 7,1	1	0	0
PENTE FINO	1	0	0
POUR ELLE CHIC-ISSIME EDP VAP 75ML3905017	1	0	0
TINT MAXTON CR 1.0 PRETO	1	0	0
LOCAO HIDRAT NIVEA BODY LOTION 1X200ML R 80313	1	0	0
GLOSS LAB VULT COR 08 4,5G	1	0	0
Reparador De Pontas 35 Ml TingidosColor Tricofacil UN	1	0	0
- REF.: (82438821) - TESTER AGUA PERFUMADA 100ML - DG INTENSE FEMME - DOLCE & GABBANA POUR FEMME INTENSE EAU D	1	0	0
SAB DETTOL NOTOUCHLIQ GPEE REF250ML	1	0	0
- REF.: (902074) - SHAMPOO 1LITRO - SENS ENERGY - SENSCIENCE PROFORMANCE ENERGY REVITALIZING SHAMPOO	1	0	0
ESM HIPOAL. BONECA DE LUXO 1X6	1	0	0
ESM.BEAUTY BASE SETIM 6X1 CX0006UN	1	0	0
Shampoo Profissional Sfera 1 Lt Anti Residuos Nazca CX	1	0	0
N/SPA TRIO SAB MIX ACAI/JAB/VI	1	0	0
Tinta Majirel 50 g 4,0 Castanho Nat.Pr. Loreal Profissional UN	1	0	0
SEB COL IGNITE MON SHP 50ML	1	0	0
MAXILLURING PO DES REFIL PRETO 300G QUER E GERM DE TRIGO	1	0	0
ESCOVA DENTAL TORCEDOR KIDS FLUMINENSE C/ PROTETOR DE CERDAS	1	0	0
SHAMPOO PAYOT SEM SAL LEVEDO VITAMINA E 300ML	1	0	0
CT DOVE REC PONTAS DUPLAS 350G	1	0	0
LOCAO HIDRATANTE SEXY GLAM, 050914	1	0	0
0383929 ST LENCO REMOVEDOR ESMAL	1	0	0
COND CACHOS DEF 300 ML	1	0	0
CR DENTAL SORRISO SUPER REFRES AMARELO 12X50G RFBR03220	1	0	0
SABONETE LIQUIDO GLICERINA BEBE 250 ML . .	1	0	0
DESODORANTE M.,ALECRIM E SALVIA 70ML CATIVA NATUREZA	1	0	0
ESP BARBA PRESTOBARB P-NORM 150GR	1	0	0
Tinta 60 Ml 689 Lou.Esc.Ver.Vio Igora Royal UN	1	0	0
CONDICIONADOR SEDA CERAMIDAS 350ML	1	0	0
ENXAGUANTE BUCAL - COLGATE PLAX 60ML	1	0	0
GUARDANAPO 14X14 FLORAX FD 4X300 - 46	1	0	0
AZZARO POUR HOMME EDT 30ML	1	0	0
DES.NIVEA ROLL.SILVER PROCT MASC.83778 UN0001UN	1	0	0
PROT SEIO AMORAVEL C30	1	0	0
0263125 ST BOLSA TERMICA 1L	1	0	0
BRILHO LAB ULTRA INT ROSE BRILLANT 7,5G	1	0	0
LOCAO H JOHNSONS LV400P320ML MAC PROLOG(E)	1	0	0
4226445 ST CREME ALISANTE NIELY	1	0	0
MAMADEIRA OCEANO 250 ML SIL ORTO (2062)	1	0	0
Mascara Tratamento Intensivo 1000 g Broto De Bambu Skafe UN	1	0	0
PHIL SMITH CURLY LOCKS CONDITIONER 250ML	1	0	0
SH. ARGAM 500ML GRIFFIN COSMETICOS Tot. Tributos R$ 3,22 Federal R$ 3,32 Estadual	1	0	0
TEST TERRA 13 JAMBES GAZELLE	1	0	0
CONDICONADOR LAVANDA BB 8 ML CX100 . .	1	0	0
NUTRI KIDS-50 ML	1	0	0
KIT TAKE TEN C/10 MINI 10 X 3,75 ML	1	0	0
ESM COLO ARTIS GLI.PRAT	1	0	0
SHAMPOO PURE RESOURCE 1500 ML	1	0	0
SAB GRANA GLICE YLANG 300M LQ	1	0	0
ESMALTE 7,5ML GLITTER - 605 AZUL	1	0	0
4413474 ST ESCOVA CABO MADEIRA	1	0	0
BLUSH PO ACUCENA 4,5G	1	0	0
Defrizante Crystal Ravor 240 g Turquesa Nazca UN	1	0	0
LOCAO HID PEACH	1	0	0
LOCC SAB LIQ KARIT	1	0	0
HYDRANCE OPTIMALE L AVENE FPS2040ML	1	0	0
FFLH SPIRIT EDT VAPO 75ML TEST	1	0	0
KER STYL SPRAY A PORTER 150ML.	1	0	0
NUXEBODY SERUM CONTORNO CELULITE	1	0	0
COVER BLOCK FPS50 - COR C ** 8G -L.201606012	1	0	0
LC GIOV.BABY 200M PEACH	1	0	0
ELUAGE AVENE CONTORNO OLHO 15ML	1	0	0
Esmalte Ludurana Aurora Boreal Reluz Solto 8ml	1	0	0
AR MAQUIAGEM - BATOM TINTA - L	1	0	0
DESCOLOR LIGHTNEKT B.LUA	1	0	0
ESC CONDOR R7013	1	0	0
CELL RESURFACING CREAN 1H09 40 ML	1	0	0
ESMALTE IMPALA CREMOSO CROCHE BLISTER 6X1 R1012703	1	0	0
SAB PALM 090GR SVE LEIT PETALA ROSAS	1	0	0
DEO COLONIA PH PROVENAL. .	1	0	0
SHAMPOO 300ML NG CONTROLE DE QUEDA	1	0	0
COL PHYTODERM SPRAY DOMINI 100 ML	1	0	0
TALCO TENYS PE B.AER CAN.110G	1	0	0
GEL BETULLA GLITTER H KITTY 180 ML	1	0	0
HITS 327 CREMOSO SAFIRA	1	0	0
PROV PERFECT SUN AGUA REFRESCANTE ENERGIZANTE C/ AGUA DE MACA 30ML	1	0	0
PERFUME HUGO XY EDT 100ML	1	0	0
BATOM MATTE FOSCO N. 190	1	0	0
ASEPXIA SAB ESFOLIANTE 90G LP:N	1	0	0
TONICO CAPILAR MARIA DA SELVA 120ML	1	0	0
HITS MARI MOON CHAMELEON PEROLADO	1	0	0
LC HID DES CORP BPLEASURE GRAPE WISH 60ml	1	0	0
Refil Sabonete Liquido Borboleta Flor 380 ml	1	0	0
SHAM MURIEL UMIDILIZ TEEN 250 ML	1	0	0
- REF.: (75001286000) - MINIATURA AGUA PERFUMADA 5ML - RC NERO - ROBERTO CAVALLI NERO ABSOLUTO EAU DE PARFUM NATURA	1	0	0
SMOOTH SHAVE FOAMING GEL 150ML	1	0	0
BATOM LONG LAST -PINK PEACH SO	1	0	0
ESM. REVLON CREME 220 ENCHANTING 14,7ML	1	0	0
AZZARO WANTED EDT 100ML	1	0	0
ESM. BLANT PER. OPERA 9,5 ML	1	0	0
DS REXONA 175ML AERO FEM BAMBOO	1	0	0
KIT GUANXUMA COMPLETO 4 PRODUTOS	1	0	0
POUDRE COMPACTE BEIGE CLAIR	1	0	0
BATOM ARCHY 311 UN-0001-UN	1	0	0
SHAMPOO FLORA NENEN CABELOS NORMAIS - 100 ML	1	0	0
CR PENT ELSEVE QUERALISLEVSED250ML	1	0	0
PERFUME ANIMALE FOR MEN 100ML	1	0	0
COADOR EXTRA GRANDE	1	0	0
VIZCAYA SH BR MAC 2CD	1	0	0
BIG SEXY SPRAY & PLAY HARDER HAIRSPRAY 300 GR	1	0	0
SH TURMA DA MONICA 2X1 200ML	1	0	0
TINT BIOCOLOR FLUID 7.44 LOURO NAT COB	1	0	0
043.018 DEVA - NO POOL 120ML	1	0	0
CASTANHO CLARO MINI-KIT CT 5.0	1	0	0
BT SEDUCION SAB INT MORANGO 120ML	1	0	0
ESC CAB RICCA 388	1	0	0
60 CARTAZES DE PRODUTOS PLUS ERVAS	1	0	0
KIT 2 LAPIS NOIR + LAPIS LAB VINHO	1	0	0
BATOM CREMESHEEN CREME CUP	1	0	0
C&B PROT SOL FPS50 12X200ML 2013 ALARME	1	0	0
LAV AMORAVEL BABY 230ML	1	0	0
Select 20x200 6 Rls. Branco	1	0	0
GD CLOSEUP LIQUI RE	1	0	0
ACTIVE DERMATO CLAREADOR FACIAL 60g	1	0	0
ESMALTE ALTA MODA:10ml:Vinho Viola	1	0	0
PEDRA POMES MARCOBONI 6019	1	0	0
POUR HOMME SOIR PROVADOR 100ML	1	0	0
LOR LRP BIOMEDIC PIGMENT CONTROL 30ML	1	0	0
Esmalte Full Color Glitter 9 Ml Luzes Ludurana UN	1	0	0
ESMALTE PINK ANITA 10ML	1	0	0
GEL MURIEL V NIGHT DANCING (DOUR) 180 GR	1	0	0
LC NIVEA REP.INTENS 48 HORAS	1	0	0
DEO COLONIA LOVE BUTTERFLY 120 ML	1	0	0
1070010 ST LENCOS PARA DEPILACAO	1	0	0
ARGAN OIL 60ML Tot. Tributos R$ 18,65 Federal R$ 14,25 Estadual	1	0	0
CLEAR MOISTURE WATER RUSH 250ML RENO	1	0	0
DS DOVE 150ML AERO MEN+CARE SILVER CONT(E)	1	0	0
NUTRI CACHOS COND 250 ML	1	0	0
5076463 ST ESMALTE FLOR DE ZAS	1	0	0
GARNIER OLIA 71 LCN	1	0	0
PH ROLAO 8X300 HIGIE SOFT BRANCO 350	1	0	0
CR. P/PERN GOICOECH NOR 400M	1	0	0
RICHESSE 5.56 ACAJU ARDENTE 80G	1	0	0
COL BEAUTYCOLO 5.0	1	0	0
AM VERMELHO INT.-021 10ML CART C/6 BLIS.	1	0	0
KIT MAMONA S/ CORANTE (SH/COND	1	0	0
DES REXONA AEROSOL MASC ACTIVE 175ML C2	1	0	0
Fleury CastCla 5.0 Col Especial	1	0	0
Shampoo Elseve 200 Ml Citrus Loreal UN	1	0	0
AUSSIE CR 3 MIN 236ML	1	0	0
Manteigas Florestais Amazônicas Bastão Labial 4,5 gr - LOTE: 03213	1	0	0
SACHE CAUTERY BLIND.QUERATINA 50 G 12 UN/CR/	1	0	0
TINT NUTRISSE 366 ACAJU PURPURA	1	0	0
BATOM QUADRADO MIA MAKE MATTE COR 7Lote: 1	1	0	0
CR PENT JOHNSONS BABY HIDRATACAO INTENSA 150ML	1	0	0
SHAMPOO HAMAMELIS OLEOSOS E MISTOS - Lote: 337123/521	1	0	0
LAPIS BATOM AMARANTHUS 2,8G	1	0	0
DEO-COL. FEMININA GLAM 95 ML Tot. Tributos R$ 8,16 Federal R$ 7,18 Estadual	1	0	0
PINCEL HENNA SUPER BELLA P	1	0	0
NECESSERE PT	1	0	0
ESCOVA DENTAL ADT OBA OBA OB-052	1	0	0
CREME HIDR. SEBO DE CARNEIRO 240G	1	0	0
SH BIO EXTRATUS NEUTRO 250ML	1	0	0
LOCAO HID NIVEA FREE TIME 200ML UN/0001	1	0	0
ELS HYDRA DETOX ZERO CASPA CD 400ML	1	0	0
Esmalte Ludurana Cremoso CR-205 Solto 8ml	1	0	0
COND DOVE 200ML HIDRAT INTENSA	1	0	0
TOP BATOM LIQ ALTA DEF. BORDO	1	0	0
SHAMPOO SEDA CLIMA RESIST 350ML	1	0	0
PENTE ESPADA CLARA BEAUTY	1	0	0
KIT ORTHO BITUFO BEN 10	1	0	0
BIGFRAL BANHO LEITO C8	1	0	0
CREME C/ OLEO DE COCO 250G Tot. Tributos R$ 2,98 Federal R$ 2,28 Estadual	1	0	0
BATOM MINERALIZE - POSH TONE	1	0	0
OLEO PAIXAO AMEND.MISTERIOSA 200ML UN0001UN	1	0	0
TEINT COMPACT EXPRESS PUR 04 TEST	1	0	0
KIDS COND CACHEADOS 250 ML	1	0	0
ESMALTE AMARENA	1	0	0
6016510 ST KIT MAQ SOM BLUS PO	1	0	0
BATOM (CAMILA)	1	0	0
ESC DEN ORAL-BKID MICKEY MOUSE	1	0	0
Escova e Pente de Cabelos Coloridos NUK | Lotes: 413689| GTIN: 34008600090206 | FCI: 968D8784-A16B-40AB-8581-B4D13EE0F	1	0	0
ROC PROCORR CR 40ML	1	0	0
Esmalte Ludurana Cremoso Aye solto 8ml	1	0	0
PAPEL HIGIENICO BCO II 8X300 MT	1	0	0
BASE DM MOUSSE NU SANDY BEIGE	1	0	0
TST EDT PUMA SYNC MAN 1H13 60ML	1	0	0
SINTA-SE BEM CHARMOSA - DESODO	1	0	0
H2OSUN LOC CR DES CORP HID250G	1	0	0
locao oxidante 30vol. 1000ml	1	0	0
PH PERSONAL VIP NEUT L24P23 2X1 30MT	1	0	0
SPRAY DE HIDRATAÇAO INTENSIVA PARA OS PES PRINCIPLES- 50ML	1	0	0
641 LOURO ESCURO ACOBREADO ACINZENTADO DICOLORE	1	0	0
SKC LHA CLEASING GEL 75ML	1	0	0
Ref1: 75018 - DAVINES - MOMO HAIR POTION 150 ML	1	0	0
Esmalte Tratamento 7,5 ml 046 Oleo Secante Impala UN	1	0	0
ANSOLAR FPS60 LOCAO 60G	1	0	0
CLINDO PELE ACNEICA MOUSSE CLEANSER 60G	1	0	0
ARTIST GLOSS 7ML TESTER 300P	1	0	0
SENSODYNE MW EXT FRESH 500mL	1	0	0
BRILHANCY A CAMPO SH DESAMARELAD 100 ML	1	0	0
GIORGIO BEVERLY HILLS FEM 30ML	1	0	0
CR PENT ELSEVE 250ML QUERA LISO 230 C	1	0	0
SAB PROTEX ERVA DOCE MAOS 250ML	1	0	0
BLANCY MANT NT 20G LC CLAR	1	0	0
AROMATIZANTE BUCAL DE MENTA 15	1	0	0
ESM PRETA GIL TRANSPARENTE VRAA 9ML LT: PG 869	1	0	0
TESTER 4 OMB.TISSE CAMBON 228 /2G - 64228	1	0	0
Creme Hidratante Clinihair 430 g Nutricao Intensiva Niely UN	1	0	0
BED HEAD CO DUMB BLON CHEM HAI 200ML	1	0	0
EA - GEL TERMOREDUTOR LIPOLESS - 500g	1	0	0
EST.ETERNITY MEN (EDT/A.SHAVE) 100 ML / 100 ML	1	0	0
SNC BALANCE CONDITIONER 3,7 L	1	0	0
BEEPS SHAMPOO FILHOTES 500ML	1	0	0
100862 - TRAVELLER 100ML - EDT	1	0	0
0159042 ST C DEPIL CORP SUPREME	1	0	0
MAGENTA FLUOR ESM 9ML	1	0	0
PLAYBOY FEMALE EDT - PLAY IT SPICY- 30ML	1	0	0
NEUTROG.UL.LIGHT P.NORM-SEC 55	1	0	0
COL MINI COR TON 9	1	0	0
0713759 ST CORRETIVO AMARELO	1	0	0
SHAM BETULLA H KITTY DELICADOS 260 ML	1	0	0
MMD DESIGN FASHION ORTO SIL TAM2 300ML C/ ALCA AZUL | Lotes: 16247| GTIN: 7896033212144	1	0	0
SHAMPOO PARA BARBA E FACE 120ML LA VERTUAN	1	0	0
ACQUA KIDS KIT CART SH E COND LI E FINOS 250ML	1	0	0
Tinta Imedia Excellence Vermelhos 7764 Verm.Ex.Intenso Loreal UN	1	0	0
YE BLOOM ARGAN OIL SHAMPOO 500ml	1	0	0
ESMALTE DESERT GLOW TEEEZ:8,5ML:MELTED COOPER	1	0	0
111972 - TESTER - CORSAGE - EDP - 100 ML	1	0	0
- REF.: (82441429) - AGUA DE COLONIA 30ML - BB SIGNATURE MAN	1	0	0
ESCOVA DENTAL INFANTIL DOLPHIN KIDS -POWERDENT	1	0	0
FIO DENTAL ORAL B MENTA 6X50 MT (8) PT0006UN	1	0	0
ESCOVA MARCOBONI OVAL USO DIARIO SOFT VIBE 8037	1	0	0
PROVADOR DES AGUA PER LAV ING 215ML	1	0	0
ESMALTE RISQUE EXPERIENCIA CARIBENHA BL 8ML	1	0	0
MMD PRIMEIROS PASSOS ORTO SIL 240ML TAM2 AZUL | Lotes: 16319| GTIN: 7896033211734	1	0	0
PROTETOR LABIAL MANGA BURTS BEES:8,5g	1	0	0
PV DIORSKIN SCULP 040	1	0	0
BEAUTY 4 FUN SUNNY BODY - 160G -L.201402041	1	0	0
KIT SH/COND NIELY GOLD REP INTENS 300 ML UN/0001	1	0	0
ESC CAB CONDOR ELIAN	1	0	0
EOC CUBE 1 60ML	1	0	0
MAKE UP SOMBRA AMSTERDA DERMAGE 1,8G -L.110412	1	0	0
2838770 ST RETOK SOB PRETO	1	0	0
CLV44 - ESCOVA P/ CABELO 18K (47812CCI-44)	1	0	0
FRUCT CR NU VIT 250	1	0	0
- REF.: (81187637) - TESTER AGUA DE COLONIA 30ML - GUCCI GUILTY HOMME - GUCCI GUILTY POUR HOMME EAU DE TOILETT	1	0	0
REPOSITOR DE MASSA CAPILAR E Q	1	0	0
Escova Clp28 18 k Import UN	1	0	0
